Antal boliger,Boligtype,EJERFORHOLD,SAMAREAL,Hierarchy,Bydel,År Tab 14-19
92,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,Under 40 m2,Bydele,Indre By,2016
84,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,Under 40 m2,Bydele,Østerbro,2016
50,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,Under 40 m2,Bydele,Nørrebro,2016
87,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,Under 40 m2,Bydele,Vesterbro/Kongens Enghave,2016
64,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,Under 40 m2,Bydele,Valby,2016
43,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,Under 40 m2,Bydele,Vanløse,2016
58,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,Under 40 m2,Bydele,Brønshøj-Husum,2016
110,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,Under 40 m2,Bydele,Bispebjerg,2016
130,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,Under 40 m2,Bydele,Amager Øst,2016
72,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,Under 40 m2,Bydele,Amager Vest,2016
175,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,Under 40 m2,Bydele,Indre By,2016
106,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,Under 40 m2,Bydele,Østerbro,2016
179,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,Under 40 m2,Bydele,Nørrebro,2016
36,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,Under 40 m2,Bydele,Vesterbro/Kongens Enghave,2016
197,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,Under 40 m2,Bydele,Valby,2016
35,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,Under 40 m2,Bydele,Vanløse,2016
12,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,Under 40 m2,Bydele,Brønshøj-Husum,2016
60,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,Under 40 m2,Bydele,Bispebjerg,2016
71,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,Under 40 m2,Bydele,Amager Øst,2016
213,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,Under 40 m2,Bydele,Amager Vest,2016
1,Blandet erhverv og beboelse med eget køkken,Ejerbolig,40 - 59 m2,Bydele,Indre By,2016
2,Blandet erhverv og beboelse med eget køkken,Ejerbolig,40 - 59 m2,Bydele,Østerbro,2016
2,Blandet erhverv og beboelse med eget køkken,Ejerbolig,40 - 59 m2,Bydele,Vesterbro/Kongens Enghave,2016
1,Blandet erhverv og beboelse med eget køkken,Ejerbolig,40 - 59 m2,Bydele,Bispebjerg,2016
1,Blandet erhverv og beboelse med eget køkken,Ejerbolig,40 - 59 m2,Bydele,Amager Øst,2016
1,Blandet erhverv og beboelse med eget køkken,Ejerbolig,40 - 59 m2,Bydele,Amager Vest,2016
643,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,40 - 59 m2,Bydele,Indre By,2016
1053,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,40 - 59 m2,Bydele,Østerbro,2016
1099,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,40 - 59 m2,Bydele,Nørrebro,2016
902,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,40 - 59 m2,Bydele,Vesterbro/Kongens Enghave,2016
846,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,40 - 59 m2,Bydele,Valby,2016
791,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,40 - 59 m2,Bydele,Vanløse,2016
365,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,40 - 59 m2,Bydele,Brønshøj-Husum,2016
674,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,40 - 59 m2,Bydele,Bispebjerg,2016
1630,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,40 - 59 m2,Bydele,Amager Øst,2016
444,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,40 - 59 m2,Bydele,Amager Vest,2016
26,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,40 - 59 m2,Bydele,Indre By,2016
27,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,40 - 59 m2,Bydele,Østerbro,2016
13,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,40 - 59 m2,Bydele,Nørrebro,2016
6,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,40 - 59 m2,Bydele,Vesterbro/Kongens Enghave,2016
2,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,40 - 59 m2,Bydele,Valby,2016
13,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,40 - 59 m2,Bydele,Vanløse,2016
2,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,40 - 59 m2,Bydele,Brønshøj-Husum,2016
4,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,40 - 59 m2,Bydele,Bispebjerg,2016
5,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,40 - 59 m2,Bydele,Amager Øst,2016
10,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,40 - 59 m2,Bydele,Amager Vest,2016
2,Fællesbolig eller fælleshusholdning,Ejerbolig,40 - 59 m2,Bydele,Vesterbro/Kongens Enghave,2016
2,Blandet erhverv og beboelse med eget køkken,Ejerbolig,60 - 79 m2,Bydele,Indre By,2016
2,Blandet erhverv og beboelse med eget køkken,Ejerbolig,60 - 79 m2,Bydele,Østerbro,2016
3,Blandet erhverv og beboelse med eget køkken,Ejerbolig,60 - 79 m2,Bydele,Nørrebro,2016
4,Blandet erhverv og beboelse med eget køkken,Ejerbolig,60 - 79 m2,Bydele,Vesterbro/Kongens Enghave,2016
2,Blandet erhverv og beboelse med eget køkken,Ejerbolig,60 - 79 m2,Bydele,Amager Øst,2016
2,Blandet erhverv og beboelse med eget køkken,Ejerbolig,60 - 79 m2,Bydele,Amager Vest,2016
882,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,60 - 79 m2,Bydele,Indre By,2016
1568,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,60 - 79 m2,Bydele,Østerbro,2016
823,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,60 - 79 m2,Bydele,Nørrebro,2016
992,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,60 - 79 m2,Bydele,Vesterbro/Kongens Enghave,2016
1178,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,60 - 79 m2,Bydele,Valby,2016
1237,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,60 - 79 m2,Bydele,Vanløse,2016
810,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,60 - 79 m2,Bydele,Brønshøj-Husum,2016
561,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,60 - 79 m2,Bydele,Bispebjerg,2016
1537,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,60 - 79 m2,Bydele,Amager Øst,2016
1248,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,60 - 79 m2,Bydele,Amager Vest,2016
13,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,60 - 79 m2,Bydele,Indre By,2016
7,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,60 - 79 m2,Bydele,Østerbro,2016
5,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,60 - 79 m2,Bydele,Nørrebro,2016
2,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,60 - 79 m2,Bydele,Valby,2016
1,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,60 - 79 m2,Bydele,Vanløse,2016
4,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,60 - 79 m2,Bydele,Brønshøj-Husum,2016
1,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,60 - 79 m2,Bydele,Bispebjerg,2016
2,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,60 - 79 m2,Bydele,Amager Øst,2016
14,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,60 - 79 m2,Bydele,Amager Vest,2016
1,Fællesbolig eller fælleshusholdning,Ejerbolig,60 - 79 m2,Bydele,Nørrebro,2016
1,Fællesbolig eller fælleshusholdning,Ejerbolig,60 - 79 m2,Bydele,Bispebjerg,2016
1,Fællesbolig eller fælleshusholdning,Ejerbolig,60 - 79 m2,Bydele,Amager Vest,2016
9,Blandet erhverv og beboelse med eget køkken,Ejerbolig,80 - 99 m2,Bydele,Indre By,2016
4,Blandet erhverv og beboelse med eget køkken,Ejerbolig,80 - 99 m2,Bydele,Østerbro,2016
2,Blandet erhverv og beboelse med eget køkken,Ejerbolig,80 - 99 m2,Bydele,Nørrebro,2016
1,Blandet erhverv og beboelse med eget køkken,Ejerbolig,80 - 99 m2,Bydele,Vesterbro/Kongens Enghave,2016
5,Blandet erhverv og beboelse med eget køkken,Ejerbolig,80 - 99 m2,Bydele,Valby,2016
8,Blandet erhverv og beboelse med eget køkken,Ejerbolig,80 - 99 m2,Bydele,Vanløse,2016
2,Blandet erhverv og beboelse med eget køkken,Ejerbolig,80 - 99 m2,Bydele,Brønshøj-Husum,2016
1,Blandet erhverv og beboelse med eget køkken,Ejerbolig,80 - 99 m2,Bydele,Bispebjerg,2016
1,Blandet erhverv og beboelse med eget køkken,Ejerbolig,80 - 99 m2,Bydele,Amager Øst,2016
1,Blandet erhverv og beboelse med eget køkken,Ejerbolig,80 - 99 m2,Bydele,Amager Vest,2016
1076,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,80 - 99 m2,Bydele,Indre By,2016
1432,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,80 - 99 m2,Bydele,Østerbro,2016
514,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,80 - 99 m2,Bydele,Nørrebro,2016
1347,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,80 - 99 m2,Bydele,Vesterbro/Kongens Enghave,2016
1254,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,80 - 99 m2,Bydele,Valby,2016
1067,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,80 - 99 m2,Bydele,Vanløse,2016
1197,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,80 - 99 m2,Bydele,Brønshøj-Husum,2016
437,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,80 - 99 m2,Bydele,Bispebjerg,2016
1162,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,80 - 99 m2,Bydele,Amager Øst,2016
2168,Egentlig beboelseslejlighed (med eget køkken),Ejerbolig,80 - 99 m2,Bydele,Amager Vest,2016
10,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,80 - 99 m2,Bydele,Indre By,2016
3,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,80 - 99 m2,Bydele,Østerbro,2016
19,"Enkeltværelse (Boligenhed med fast kogeinstallation, fælles køkken eller intet køkken)",Ejerbolig,80 - 99 m2,Bydele,Vesterbro/Kongens Enghave,2016
